Wijk2025;wijknaam2025
035602;Zuilenstein
035603;Batau Zuid
035604;Batau Noord
035605;Doorslag
035606;Huis de Geer
035607;Blokhoeve
035608;Galecop
035610;Fokkesteeg
035611;Hoogzandveld
035612;Lekboulevard
035613;Vreeswijk
035614;Merwestein
035615;Park Oudegein
035616;Zandveld
035618;Het Klooster
035620;Laagraven
035621;Plettenburg
035622;De Wiers
035623;Hoge Landen
035624;Stadscentrum
035625;Rijnhuizen
035800;Wijk 00 Aalsmeer
035801;Wijk 01 Kudelstraat en Kalslagen
035802;Wijk 02 Oosteinde
036101;Zuid
036102;Oudorp
036103;Overdie
036104;West
036105;Huiswaard
036106;De Mare
036107;Daalmeer/Koedijk
036108;Centrum
036109;Schermer
036110;Graft-De Rijp
036111;Vroonermeer
036201;Randwijck
036202;Patrimonium
036203;Elsrijk
036204;Stadshart
036205;Uilenstede, Kronenburg
036206;Bankras, Kostverloren
036207;Buitengebied Noord
036208;Keizer Karelpark
036209;Groenelaan
036210;Waardhuizen, Middenhoven
036211;Bovenkerk - Westwijk Noord
036212;Westwijk Zuid
036213;Buitengebied Zuid
036214;Amsterdamse Bos
036399;Groot water
037301;Wijk 01 Bergen Binnen
037302;Wijk 02 Bergen aan Zee
037303;Wijk 03 Buitengebied Bergen
037304;Wijk 04 Egmond aan Zee
037305;Wijk 05 Egmond-Binnen
037306;Wijk 06 Egmond aan den Hoef
037307;Wijk 07 Schoorl
037399;Groot water
037500;Centrum
037501;Vondelkwartier
037502;Oranjebuurt
037503;Kuenenkwartier
037504;Warande
037505;Noordwestelijk tuinbouwgebied
037506;Oosterwijk en Zwaansmeer
037507;Meerestein
037508;Wijk aan Zee
037509;de Pijp en Wijkerbroek
037510;Broekpolder
037599;Groot water
037601;Blaricum
037699;Groot water
037700;Wijk 00 Bloemendaal
037701;Wijk 01 Overveen
037702;Wijk 02 Aerdenhout
037703;Wijk 03 Vogelenzang
037704;Wijk 04 Bennebroek
037799;Groot water
038300;Wijk 00 Centrum
038301;Wijk 01 Castricum-Noord
038302;Wijk 02 Castricum-Oost
038303;Wijk 03 Castricum-Zuid
038304;Wijk 04 Bakkum
038305;Wijk 05 Akersloot
038306;Wijk 06 De Woude
038307;Wijk 07 Limmen
038399;Groot water
038401;Diemen Noord
038402;Diemen Centrum
038403;Diemen Zuid
038404;Bergwijkpark
038405;Holland Park
038406;Bedrijventerreinen
038407;Plantage de Sniep
038408;Buitengebied
038499;Groot water
038500;Wijk 00 Edam
038501;Wijk 01 Purmer
038502;Wijk 02 Volendam
038503;Wijk 03 Beets
038504;Wijk 04 Oosthuizen
038505;Wijk 05 Warder
038506;Wijk 06 Middelie
038507;Wijk 07 Kwadijk
038508;Wijk 08 Schardam
038509;Wijk 09 Hobrede
038599;Groot water
038800;Centrum en Havens
038801;Enkhuizen Noord
038802;Enkhuizen Buitengebied
038803;Enkhuizen Zuid
038810;Buitengebied IJsselmeer en Markermeer
038899;Groot water
039201;Oude Stad
039202;Haarlemmerhoutkwartier
039203;Zijlwegkwartier
039204;Houtvaartkwartier
039205;Duinwijk
039206;Waarder- en Veerpolder
039207;Amsterdamsewijk
039208;Slachthuiswijk
039209;Parkwijk
039210;Transvaalwijk
039211;Indischewijk
039212;Ter Kleefkwartier
039213;Te Zaanenkwartier
039214;Vogelenwijk
039215;Delftwijk
039216;Vondelkwartier
039217;Spaarndam
039218;Europawijk
039219;Boerhaavewijk
039220;Molenwijk
039221;Meerwijk
039401;Hoofddorp
039402;Nieuw-Vennep
039403;Zwanenburg
039404;Lijnden / Boesingheliede
039405;Badhoevedorp
039406;Aalsmeerderbrug/ Oude Meer/ Rozenburg / Schiphol Rijk
039407;Rijsenhout
039408;Burgerveen / Leimuiderbrug / Weteringbrug
039409;Abbenes / Buitenkaag
039410;Lisserbroek
039411;Beinsdorp
039412;Zwaanshoek
039413;Cruquius
039415;Vijfhuizen
039416;Schiphol
039420;Spaarndam
039421;Haarlemmerliede
039422;Halfweg
039601;Wijk 01 Heemskerk-Dorp
039602;Wijk 02 Commandeurs en Marquette
039603;Wijk 03 Hofland, Oosterwijk en Zuidbroek
039604;Wijk 04 Heemskerkerduin en Noorddorp
039605;Wijk 05 Poelenburg en Oosterzij
039606;Wijk 06 Noordbroek en De Trompet
039607;Wijk 07 Kerkbeek
039608;Wijk 08 Assumburg
039609;Wijk 09 Hoogdorp en Waterakkers
039610;Wijk 10 Broekpolder
039611;Wijk 11 Oostelijk Heemskerk
039699;Groot water
039700;Wijk 00 Heemstede-Centrum
039701;Wijk 01 Heemstede-Zuid
039702;Wijk 02 Heemstede west van de spoorbaan
039901;Wijk 01 Blockhovepark
039902;Wijk 02 Heiloo Noord-West
039903;Wijk 03 Heiloo-Midden
039904;Wijk 04 Heiloo-West
039905;Wijk 05 Stationsomgeving
039906;Wijk 06 Ypestein
039907;Wijk 07 Heiloo-Oost
039908;Wijk 08 Heiloo Zuid-West
040001;Wijk 01 Stad binnen de Linie-Oost
040002;Wijk 02 Stad binnen de Linie-West
040003;Wijk 03 Nieuw Den Helder-West
040004;Wijk 04 Nieuw Den Helder-Oost
040005;Wijk 05 De Schooten
040006;Wijk 06 Het Koegras
040007;Wijk 07 Duinzoom
040008;Wijk 08 Julianadorp
040099;Groot water
040201;Centrum
040202;Noordwest
040203;Zuidwest
040204;Zuid
040205;Zuidoost
040206;Oost
040207;Noordoost
040208;Hilversumse Meent
040209;Landelijk Gebied
040510;Wijk 10 Binnenstad
040511;Wijk 11 Venenlaan-kwartier
040512;Wijk 12 Hoorn-Noord
040513;Wijk 13 Grote Waal
040520;Wijk 20 Risdam-Zuid
040521;Wijk 21 Risdam-Noord
040522;Wijk 22 Nieuwe Steen
040530;Wijk 30 Zwaag
040531;Wijk 31 Blokker
040532;Wijk 32 Kersenboogerd-Noord
040533;Wijk 33 Kersenboogerd-Zuid
040534;Wijk 34 Hoorn 80
040535;Wijk 35 Bangert en Oosterpolder
040536;Wijk 36 Noord
040599;Groot water
040600;Wijk 00 Oude Dorp
040601;Wijk 01 Westereng
040602;Wijk 02 Buitenwijken
040603;Wijk 03 Erica en Tafelberg
040604;Wijk 04 Staatslieden en Componistenbuurt
040605;Wijk 05 Havengebied
040606;Wijk 06 Zenderwijk en Bovenweg
040607;Wijk 07 Stad en Lande
040608;Wijk 08 Huizermaat West en Zuid
040609;Wijk 09 Huizermaat Noord
040610;Wijk 10 Bijvanck
040611;Wijk 11 Bovenmaten
040612;Wijk 12 Hogemaat
040699;Groot water
041501;Purmerland
041502;Den Ilp
041503;Landsmeer
041703;Laren
042001;Medemblik
042002;Opperdoes
042003;Twisk
042004;Lambertschaag
042005;Abbekerk
042006;Sijbekarspel
042007;Benningbroek
042008;Wognum
042009;Zwaagdijk-West
042010;Nibbixwoud
042011;Midwoud
042012;Oostwoud
042013;Hauwert
042014;Zwaagdijk-Oost
042015;Wervershoof
042016;Andijk
042099;Groot water
043100;Wijk 00
043201;Opmeer
043202;Spanbroek
043203;Hoogwoud
043204;Aartswoud
043205;De Weere
043700;Wijk 00
043901;Wijk 01 Centrum
043902;Wijk 02 Overwhere
043903;Wijk 03 Wheermolen
043904;Wijk 04 Gors
043905;Wijk 05 Purmer-Noord
043906;Wijk 06 Purmer-Zuid
043907;Wijk 07 Weidevenne
043908;Beemster
044101;Schagerbrug
044102;Schagen-Zuid
044103;Burgerbrug
044104;Sint Maarten
044105;Warmenhuizen
044106;Tuitjenhorn
044107;Waarland
044108;Dirkshorn
044109;Oudesluis
044110;Schagen-Centrum
044111;Petten
044112;Sint Maartensbrug
044113;'t Zand
044114;Sint Maartensvlotbrug
044115;Callantsoog
044116;Schagen-West
044117;Schagen-Oost
044118;Schagen-Noord
044199;Groot water
044800;Wijk 00 Het Oude Land en duingebied
044801;Wijk 01 Het Nieuwe Land
044899;Groot water
045000;Wijk 00 Uitgeest
045115;Wijk 15 Dorpscentrum
045125;Wijk 25 Thamerdal
045135;Wijk 35 Zijdelwaard
045145;Wijk 45 Legmeer
045150;Wijk 50 Langs de Vuurlinie
045155;Wijk 55 Veilinggebied
045165;Wijk 65 Meerwijk
045175;Wijk 75 Bedrijventerrein
045185;Wijk 85 De Kwakel
045190;Wijk 90 Glastuinbouwgebied
045195;Wijk 95 Veenweidegebied
045300;Wijk 00 Velsen-Zuid en Driehuis
045301;Wijk 01 IJmuiden-Noord
045302;Wijk 02 IJmuiden-Zuid
045303;Wijk 03 IJmuiden-West
045304;Wijk 04 Zee- en Duinwijk
045305;Wijk 05 Velsen-Noord
045306;Wijk 06 Santpoort-Noord
045307;Wijk 07 Santpoort-Zuid
045308;Wijk 08 Velserbroek
045309;Wijk 09 Spaarndammerpolder
045399;Groot water
047301;Zandvoort Noord
047302;Zandvoort Zuid
047303;Bentveld
047304;Buitengebied
047399;Groot water
047911;Zaandam Zuid
047912;Poelenburg
047913;Pelders- en Hoornseveld
047914;Rosmolenwijk
047915;Kogerveldwijk
047916;Zaandam Noord
047921;Oude Haven
047922;Zaandam West
047923;Nieuw West
047931;Oud Koog a/d Zaan
047932;Westerkoog
047941;Oud Zaandijk
047942;Rooswijk
047951;Wormerveer
047961;Krommenie Oost
047962;Krommenie West
047971;Assendelft-Zuid
047972;Assendelft-Noord
047981;Westzaan
048201;Wijk 01 Centrum
048202;Wijk 02 Kinderdijk
048203;Wijk 03 Blokweer
048204;Wijk 04 Souburgh
048205;Wijk 05 Bedrijventerrein
048206;Wijk 06 Landelijk gebied
048401;Oudshoorn
048402;Ridderveld
048403;Zegersloot
048404;Hoorn
048405;Hoge Zijde
048406;Lage Zijde
048407;Steekterpolder
048408;Kerk en Zanen
048409;Rietveld
048431;Benthuizen
048445;Aarlanderveen
048470;Boskoop
048471;Zwammerdam
048491;Hazerswoude-Dorp
048494;Hazerswoude-Rijndijk
048496;Koudekerk aan den Rijn
048901;Wijk 01 Centrum
048902;Wijk 02 Noord
048903;Wijk 03 Binnenland
048904;Wijk 04 Oranjewijk
048905;Wijk 05 Buitenoord
048906;Wijk 06 Ter Leede
048907;Wijk 07 Paddewei
048908;Wijk 08 Molenvliet
048909;Wijk 09 Nieuweland
048910;Wijk 10 Dorpzicht
048911;Wijk 11 Bijdorp
048912;Wijk 12 Smitshoek
048913;Wijk 13 Voordijk
048914;Wijk 14 Meerwede
048915;Wijk 15 Waterkant
048916;Wijk 16 Havenkwartier
048917;Wijk 17 Gaatkensoog
048918;Wijk 18 Riederhoek
048919;Wijk 19 Vrijheidsakker
048920;Wijk 20 Vrijenburg
048930;Wijk 30 Buitengebied Noord
048931;Wijk 31 Buitengebied Zuid
048950;Wijk 50 Bedrijventerreinen
049800;Hoogkarspel
049801;Westwoud
049802;Oosterblokker
049803;Venhuizen
049804;Wijdenes
049805;Schellinkhout
049806;Hem
049807;Oosterleek
049899;Groot water
050201;Capelle West en 's Gravenland
050202;Middelwatering West
050203;Middelwatering Oost
050204;Oostgaarde Zuid
050205;Oostgaarde Noord
050206;Schenkel
050207;Schollevaar Zuid
050208;Schollevaar Noord
050209;Rivium
050311;Wijk 11 Binnenstad
050312;Wijk 12 Vrijenban
050313;Wijk 13 Hof van Delft
050314;Wijk 14 Voordijkshoorn
050316;Wijk 16 Delftse Hout
050322;Wijk 22 Tanthof-West
050323;Wijk 23 Tanthof-Oost
050324;Wijk 24 Voorhof
050325;Wijk 25 Buitenhof
050326;Wijk 26 Abtswoude
050327;Wijk 27 Schieweg
050328;Wijk 28 Wippolder
050329;Wijk 29 Ruiven
050501;Wijk 01 Binnenstad
050502;Wijk 02 Noordflank
050503;Wijk 03 Oud Krispijn
050504;Wijk 04 Nieuw-krispijn
050505;Wijk 05 Het Reeland
050506;Wijk 06 Staart
050507;Wijk 07 Wielwijk
050508;Wijk 08 Crabbehof/Zuidhoven
050509;Wijk 09 Sterrenburg
050510;Wijk 10 Dubbeldam
050511;Wijk 11 Stadspolders
050519;Wijk 19 Industriegebied West
050598;Wijk 98 Verspreide bebouwing
050599;Groot water
051201;Wijk 01 Gorinchem binnenstad
051202;Wijk 02 Wijdschild
051203;Wijk 03 Lingewijk
051204;Wijk 04 haarwijk
051205;Wijk 05 Stalkaarsen
051206;Wijk 06 Gildenwijk
051207;Wijk 07 Schelluinsestraat
051208;Wijk 08 Avelingen Oost
051209;Wijk 09 Avelingen West
051210;Wijk 10 Molenvliet
051211;Wijk 11 laag Dalem
051212;Wijk 12 Dalem
051213;Wijk 13 Hoog Dalem
051214;Wijk 14 Bedrijventerrein Oost
051215;Wijk 15 Papland
051216;Wijk 16 schotdeuren
051217;Wijk 17 Bedrijventerrein Noord
051218;Wijk 18 Landelijk gebied West
051219;Wijk 19 Landelijk gebied Noord
051220;Wijk 20 Landelijk gebied Oost
051221;Wijk 21 Landelijk gebied Zuid
051301;Binnenstad
051302;De Korte Akkeren
051303;Bloemendaal
051304;Plaswijck
051305;Noord
051306;Kort Haarlem
051307;Goverwelle
051308;Stolwijkersluis
051309;Westergouwe
051801;Wijk 01 Oostduinen
051802;Wijk 02 Belgisch Park
051803;Wijk 03 Westbroekpark en Duttendel
051804;Wijk 04 Benoordenhout
051805;Wijk 05 Archipelbuurt
051806;Wijk 06 Van Stolkpark en Scheveningse Bosjes
051807;Wijk 07 Scheveningen
051808;Wijk 08 Duindorp
051809;Wijk 09 Geuzen- en Statenkwartier
051810;Wijk 10 Zorgvliet
051811;Wijk 11 Duinoord
051812;Wijk 12 Bomen- en Bloemenbuurt
051813;Wijk 13 Vogelwijk
051814;Wijk 14 Bohemen en Meer en Bos
051815;Wijk 15 Kijkduin en Ockenburgh
051816;Wijk 16 Kraayenstein en Vroondaal
051817;Wijk 17 Loosduinen
051818;Wijk 18 Waldeck
051819;Wijk 19 Vruchtenbuurt
051820;Wijk 20 Valkenboskwartier
051821;Wijk 21 Regentessekwartier
051822;Wijk 22 Zeeheldenkwartier
051823;Wijk 23 Willemspark
051824;Wijk 24 Haagse Bos
051825;Wijk 25 Mariahoeve en Marlot
051826;Wijk 26 Bezuidenhout
051827;Wijk 27 Stationsbuurt
051828;Wijk 28 Centrum
051829;Wijk 29 Schildersbuurt
051830;Wijk 30 Transvaalkwartier
051831;Wijk 31 Rustenburg en Oostbroek
051832;Wijk 32 Leyenburg
051833;Wijk 33 Bouwlust
051834;Wijk 34 Morgenstond
051835;Wijk 35 Zuiderpark
051836;Wijk 36 Moerwijk
051837;Wijk 37 Groente- en Fruitmarkt
051838;Wijk 38 Laakkwartier en Spoorwijk
051839;Wijk 39 Binckhorst
051840;Wijk 40 Wateringse Veld
051841;Wijk 41 Hoornwijk
051842;Wijk 42 Ypenburg
051843;Wijk 43 Forepark
051844;Wijk 44 Leidschenveen
051899;Groot water
052301;Neder Hardinxveld
052302;De Peulen
052303;Boven Hardinxveld
052304;Giessendam
053101;Wijk 01 Centrum
053102;Wijk 02 Krommeweg
053103;Wijk 03 De Volgerlanden
053104;Wijk 04 Sandelingen-Ambacht
053105;Wijk 05 De Oevers
053201;Stede Broec Buitengebied
053202;Stede Broec Noord
053203;Stede Broec Zuid
053299;Groot water
053401;Hillegom Midden
053402;Hillegom Noord
053403;Hillegom Zuid
053404;Hillegom West
053405;Buitengebied
053701;Katwijk Noord
053702;'t Heen
053703;Katwijk aan den Rijn
053705;Katwijk aan Zee
053706;Landelijk gebied Katwijk
053707;Rijnsburg
053708;Valkenburg
053799;Groot water
054200;Wijk 00 Krimpen aan den IJssel
054600;Binnenstad-Zuid
054601;Binnenstad-Noord
054602;Stationsdistrict
054603;Leiden-Noord
054604;Roodenburgerdistrict
054605;Bos- en Gasthuisdistrict
054606;Morsdistrict
054607;Boerhaavedistrict
054608;Merenwijkdistrict
054609;Stevenshofdistrict
054700;Wijk 00
054701;Wijk 01
054702;Wijk 02
055301;Lisse Noord
055302;Centrum
055303;Lisse Zuid
055304;Buitengebied
055601;Wijk 01 Taanschuurpolder
055602;Wijk 02 Dijkpolder
055603;Wijk 03 Sluispolder
055604;Wijk 04 Kapelpolder
055605;Wijk 05 Burgemeesterswijk
055606;Wijk 06 Steendijkpolder
055607;Wijk 07 Aalkeetpolder
055608;Wijk 08 Wilgenrijk
056901;Kern Nieuoop
056902;Kern De Meije
056903;Kern Noorden
056904;Kern Noordse Dorp
056905;Kern Woerdense Verlaat
056906;Kern Zevenhoven
056907;Kern Noordeinde
056908;Kern Vrouwenakker
056909;Kern Nieuwveen
056910;Kern Ter Aar
056911;Kern Korteraar
056912;Kern Langeraar
056913;Kern Papenveer
057500;Noordwijk Zee
057501;Noordwijk Binnen
057502;Noordwijk Buitengebied
057503;Noordwijkerhout
057504;Noordwijkerhout Buitengebied
057505;De Zilk
057599;Groot water
057901;Oud Oegstgeest
057902;Oudenhof
057903;De Kwaak
057904;Oegstgeest Noord
057905;Oegstgeest West
058901;Hekendorp
058902;Oudewater
058903;Papekop
058904;Snelrewaard
059001;Westpolder
059002;Molenvliet
059003;Kraaihoek
059004;Middenpolder
059005;Wilgendonk
059006;De Kooy-Oosteind
059007;Oostpolder
059008;Vriesenpolder
059009;De Noordoever
059701;Centrum
059702;West
059703;Oost
059704;Drievliet
059705;Het Zand
059706;Slikkerveer
059707;Bolnes
059708;Rijsoord
059709;Oostendam
059710;Donkersloot
059711;Verenambacht
059712;Cornelisland
059901;Rotterdam Centrum
059903;Delfshaven
059904;Overschie
059905;Noord
059906;Hillegersberg-Schiebroek
059908;Kralingen-Crooswijk
059910;Feijenoord
059912;IJsselmonde
059913;Pernis
059914;Prins Alexander
059915;Charlois
059916;Hoogvliet
059917;Hoek van Holland
059918;Spaanse Polder
059919;Nieuw Mathenesse
059921;Waalhaven-Eemhaven
059922;Vondelingenplaat
059923;Botlek-Europoort-Maasvlakte
059924;Rotterdam-Noord-West
059925;Rivium
059927;Rozenburg
059999;Groot water
060301;Wijk 01
060302;Wijk 02
060303;Wijk 03
060304;Wijk 04
060305;Wijk 05
060306;Wijk 06
060307;Wijk 07
060308;Wijk 08
060309;Wijk 09
060310;Wijk 10
060311;Wijk 11
060600;Wijk 00 Centrum
060601;Wijk 01 Oost
060602;Wijk 02 Schiedamse Havens
060603;Wijk 03 West
060604;Wijk 04 Zuid
060605;Wijk 05 Kethel
060606;Wijk 06 Nieuwland
060607;Wijk 07 Groenoord
060608;Wijk 08 Industrie
060609;Wijk 09 Woudhoek
060610;Wijk 10 Spaland en Sveaparken
060611;Wijk 11 Polderbuitengebied
061001;Wijk 01 Sliedrecht-West
061002;Wijk 02 Sliedrecht-Centrum
061003;Wijk 03 Sliedrecht-Oost
061004;Wijk 04 Sliedrecht-Noord
061301;Wijk 01 Poortugaal-Noord
061302;Wijk 02 Rhoon-Noord
061303;Wijk 03 Poortugaal-Zuid
061304;Wijk 04 Rhoon-Zuid
061305;Wijk 05 Buitengebied Albrandswaard
061306;Wijk 06 Portland
061307;Wijk 07 Rotterdam-Albrandswaard
062201;Centrum
062202;Westwijk
062203;Vettenoordse Polder
062204;Oostwijk
062205;Vlaardinger Ambacht
062206;Holy Zuid
062207;Holy Noord
062208;Broekpolder
062600;Wijk 00
062701;Wijk 01
062702;Wijk 02
062703;Wijk 03
062704;Wijk 04
062900;Wijk 00 Zuidwestelijk deel der gemeente
062901;Wijk 01 Noordoostelijk deel der gemeente
062999;Groot water
063201;Wijk 01 Woerden-Midden
063202;Wijk 02 Woerden-West
063203;Wijk 03 Woerden-Oost
063204;Wijk 04 Buitengebied Woerden-West
063205;Wijk 05 Buitengebied Woerden-Oost
063206;Wijk 06 Harmelen
063207;Wijk 07 Kamerik
063208;Wijk 08 Zegveld
063701;Dorp
063702;Stadscentrum
063703;Palenstein
063704;Driemanspolder
063705;Meerzicht
063706;Buytenwegh
063707;De Leyens
063708;Seghwaert
063709;Noordhove
063710;Rokkeveen
063711;Oosterheem
063712;Ontwikkelwijk
063713;bedrijventerreinen
063714;buitengebied
063715;A12-ZONE
063800;Zoeterwoude-Dorp
063801;Westeinde
063802;Zuidbuurt
063803;Weipoort
063804;Gelderswoude
063809;Verspreide huizen
063810;Zoeterwoude-Rijndijk
064201;Wijk 01 Walburg
064202;Wijk 02 Centrum
064203;Wijk 03 Noord
064204;Wijk 04 Heer Oudelands Ambacht
064205;Wijk 05 Kort Ambacht
064206;Wijk 06 Nederhoven
064207;Wijk 07 Verspreide bebouwing
064208;Wijk 08 Bebouwde kom Heerjansdam
064209;Wijk 09 Landelijk gebied Heerjansdam
065401;Baarland
065402;Borssele
065403;Driewegen
065404;Ellewoutsdijk
065405;Heinkenszand
065406;Hoedekenskerke
065407;Kwadendamme
065408;Lewedorp
065409;Nieuwdorp
065410;Nisse
065411;Oudelande
065412;Ovezande
065413;'s-Gravenpolder
065414;'s-Heer Abtskerke
065415;'s-Heerenhoek
065499;Groot water
066401;Wijk 01 Goes
066402;Wijk 02 Wilhelminadorp
066403;Wijk 03 Kloetinge
066404;Wijk 04 Kattendijke
066405;Wijk 05 's-Heer-Arendskerke
066406;Wijk 06 Eindewege
066407;Wijk 07 's-Heer-Hendrikskinderen
066408;Wijk 08 Wolphaartsdijk
066409;Wijk 09 Oud-Sabbinge
066499;Groot water
066801;Wijk 01 Alphen
066802;Wijk 02 Altforst
066803;Wijk 03 Appeltern
066804;Wijk 04 Beneden-Leeuwen
066805;Wijk 05 Boven-Leeuwen
066806;Wijk 06 Dreumel
066807;Wijk 07 Maasbommel
066808;Wijk 08 Wamel
067701;Hulst
067702;Sint Jansteen
067703;Clinge
067704;Graauw
067705;Heikant
067706;Nieuw Namen
067707;Kapellebrug
067708;Kloosterzande
067709;Lamswaarde
067710;Terhole
067711;Vogelwaarde
067712;Hengstdijk
067713;Ossenisse
067714;Kuitaart
067715;Walsoorden
067799;Groot water
067800;Wijk 00 Kapelle
067801;Wijk 01 Wemeldinge
067802;Wijk 02 Schore
067899;Groot water
068700;Binnenstad
068710;Griffioen
068711;Klarenbeek
068712;Nieuw Middelburg
068713;Brigdamme
068714;Sint Laurens
068715;Ramsburg
068716;Veersepoort
068717;Verspreide huizen in het noorden
068718;Verspreide huizen in het noordwesten
068719;Verspreide huizen in het noordoosten
068720;Stromenwijk/'t Zand
068729;Verspreide huizen in het zuidwesten
068730;Middelburg Zuid
068731;Dauwendaele
068732;Arnestein
068739;Mortiere
068740;Nieuw- en Sint Joosland
068749;Verspreide huizen Nieuw- en Sint Joosland
068750;Arnemuiden
068751;Kleverskerke
068752;Oranjeplaat
068753;Veerse Meer
068759;Verspreide huizen Arnemuiden
068799;Groot water
070300;Wijk 00 Yerseke
070301;Wijk 01 Kruiningen
070302;Wijk 02 Krabbendijke
070303;Wijk 03 Waarde
070304;Wijk 04 Rilland-Bath
070305;Wijk 05 Hansweert
070306;Wijk 06 Oostdijk
070399;Groot water
071501;Kern Axel
071502;Buitengebied Axel
071503;Kern Biervliet
071504;Buitengebied Biervliet
071505;Kern Hoek
071506;Buitengebied Hoek
071507;Kern Koewacht
071508;Buitengebied Koewacht
071509;Kern Overslag
071510;Buitengebied Overslag
071511;Kern Philippine
071512;Buitengebied Philippine
071513;Kern Sas van Gent
071514;Buitengebied Sas van Gent
071515;Kern Sluiskil
071516;Buitengebied Sluiskil
071517;Kern Spui
071518;Buitengebied Spui
071519;Buitengebied Terneuzen
071520;Terneuzen Centrum
071521;Terneuzen Noord
071522;Terneuzen West
071523;Terneuzen Zuid
071524;Terneuzen Oost
071525;Kern Westdorpe
071526;Buitengebied Westdorpe
071527;Kern Zaamslag
071528;Buitengebied Zaamslag
071529;Kern Zuiddorpe
071530;Buitengebied Zuiddorpe
071599;Groot water
071600;Tholen
071601;Poortvliet
071602;Scherpenisse
071603;Sint-Maartensdijk
071604;Stavenisse
071605;Sint-Annaland
071606;Oud-Vossemeer
071607;Sint Philipsland
071699;Groot water
071700;Wijk 00 Veere
071701;Wijk 01 Gapinge
071702;Wijk 02 Vrouwenpolder
071703;Wijk 03 Serooskerke
071704;Wijk 04 Domburg
071705;Wijk 05 Oostkapelle
071706;Wijk 06 Aagtekerke
071707;Wijk 07 Grijpskerke
071708;Wijk 08 Meliskerke
071709;Wijk 09 Koudekerke
071710;Wijk 10 Biggekerke
071711;Wijk 11 Zoutelande
